IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.																													
To be completed by wet lab team member																		Sequncing file index (DO NOT CHANGE)	To be completed by bioinformatics team member										
Sample Index (from MSTS)	sample ID (from MSTS)	Label (for QC report)	species 	Experiment Index (from METS)	Team member intials	Date submitted for sequencing	Library ID	Sequencing ID	Experiment type	Sequening core	Machine	Sequening length	Read type	Portion of lane	i5 Index (or single index)	i7 index (if applicable)	Notes		Date sequencing completed	Team member intitials	Genome	Total_reads	Final_reads	Final_yield	Mito_frac	TSS_enrichment	FRoP	Link for sharing files	Notes
N/A	N/A (special case; not on our MSTS)	Cortex1_H3K26me3	mouse	N/A	DUG	N/A	SRC1589	SRC1589	Other (please explain in notes)	LICR	HiSeq4000	50	SE	N/A	A16	(truseq)	/home/sochee/fastq/SRC1589_R1.fastq.bz2	SEQ-477			mm10	23,438,917	9,405,387	0.401	0.000413	1.25	0.0138		
N/A	N/A (special case; not on our MSTS)	Cortex1_H3K36me3	mouse	N/A	DUG	N/A	SRC1590	SRC1590	Other (please explain in notes)	LICR	HiSeq4000	50	SE	N/A	A18	(truseq)	/home/sochee/fastq/SRC1590_R1.fastq.bz2	SEQ-478			mm10	40,665,137	31,259,486	0.769	0.000287	1.33	0.0178		
N/A	N/A (special case; not on our MSTS)	Cortex1_H3K36me3	mouse	N/A	DUG	N/A	SRC1591	SRC1591	Other (please explain in notes)	LICR	HiSeq4000	50	SE	N/A	A19	(truseq)	/home/sochee/fastq/SRC1591_R1.fastq.bz2	SEQ-479			mm10	44,939,167	28,133,903	0.626	0.000468	1.393	0.0191		
N/A	N/A (special case; not on our MSTS)	Cortex1_input	mouse	N/A	DUG	N/A	SRC1592	SRC1592	Other (please explain in notes)	LICR	HiSeq4000	50	SE	N/A	A08	(truseq)	/home/sochee/fastq/SRC1592_R1.fastq.bz2	SEQ-480			mm10	21,811,600	13,338,383	0.612	0.00532	6.324	0.0542		
SAMP-68	GBM3_seq1_2	GBM3_seq1_2	human	EXP-335	JYH	1/16/2018	JYH_223	JYH_223_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S503	N701		SEQ-385			hg38	62,423,866	47,670,448	0.764	0.0619	19.69	0.235		
SAMP-71	GBM4.3_seq1_2	GBM4.3_seq1_2	human	EXP-336	JYH	1/16/2018	JYH_224	JYH_224_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S505	N702		SEQ-386			hg38	52,006,748	39,058,756	0.751	0.0699	12.05	0.115		
SAMP-77	GBM5.4_seq1_2	GBM5.4_seq1_2	human	EXP-337	JYH	1/16/2018	JYH_225	JYH_225_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S506	N703		SEQ-387			hg38	54,469,588	38,639,002	0.709	0.112	9.551	0.081		
SAMP-79	GBM6.2_seq1_2	GBM6.2_seq1_2	human	EXP-338	JYH	1/16/2018	JYH_226	JYH_226_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S507	N704		SEQ-388			hg38	44,238,024	28,352,810	0.641	0.184	8.489	0.0661		
SAMP-80	GBM7_seq1_2	GBM7_seq1_2	human	EXP-339	JYH	1/16/2018	JYH_227	JYH_227_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S508	N705		SEQ-389			hg38	50,408,118	31,767,448	0.63	0.2	10.44	0.0757		
SAMP-81	GBM8.1_seq1_2	GBM8.1_seq1_2	human	EXP-340	JYH	1/16/2018	JYH_228	JYH_228_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S510	N706		SEQ-390			hg38	42,512,368	25,954,326	0.611	0.223	11.04	0.0813		
SAMP-86	GBM9.2_seq1_2	GBM9.2_seq1_2	human	EXP-341	JYH	1/16/2018	JYH_229	JYH_229_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S511	N707		SEQ-391			hg38	40,871,834	27,673,828	0.677	0.133	7.265	0.0525		
SAMP-91	GBM10.3_seq1_2	GBM10.3_seq1_2	human	EXP-342	JYH	1/16/2018	JYH_230	JYH_230_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S502	N710		SEQ-392			hg38	51,526,616	31,028,114	0.602	0.252	12.5	0.109		
SAMP-113	GBM11_seq1_2	GBM11_seq1_2	human	EXP-343	JYH	1/16/2018	JYH_231	JYH_231_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S503	N711		SEQ-393			hg38	58,280,926	42,724,990	0.733	0.115	19.34	0.174		
SAMP-115	GBM12.2_seq1_2	GBM12.2_seq1_2	human	EXP-344	JYH	1/16/2018	JYH_232	JYH_232_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	S505	N712		SEQ-394			hg38	42,143,260	29,286,058	0.695	0.113	15.35	0.124		
SAMP-379	DMS114_H3K27me3	DMS114_H3K27me3	human	EXP-378	AVD	2/8/2018	AVD_77	AVD_77	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A5	(TruSeq)	0.167	Pfizer ChIP-seq	SEQ-491			hg38	84,786,936	42,353,228	0.5	0.000305	1.842	0.0393		
SAMP-379	DMS114_H3K4me3	DMS114_H3K4me3	human	EXP-379	AVD	2/8/2018	AVD_78	AVD_78	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A6	(TruSeq)	0.094	Pfizer ChIP-seq	SEQ-492			hg38	135,040,454	114,927,940	0.851	4.86E-05	16.85	0.795		
SAMP-379	DMS114_Input	DMS114_Input	human	EXP-380	AVD	2/8/2018	AVD_79	AVD_79	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A14	(TruSeq)	0.104	Pfizer ChIP-seq	SEQ-493			hg38	90,547,680	72,741,760	0.803	0.00284	1.305	0.0178		
SAMP-383	H209_H3K27me3	H209_H3K27me3	human	EXP-381	AVD	2/8/2018	AVD_80	AVD_80	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A7	(TruSeq)	0.167	Pfizer ChIP-seq	SEQ-494			hg38	171,285,570	80,937,744	0.473	0.000299	1.775	0.035		
SAMP-383	H209_H3K4me3	H209_H3K4me3	human	EXP-382	AVD	2/8/2018	AVD_81	AVD_81	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A12	(TruSeq)	0.094	Pfizer ChIP-seq	SEQ-495			hg38	139,768,590	115,234,946	0.824	4.08E-05	21.11	0.804		
SAMP-383	H209_Input	H209_Input	human	EXP-383	AVD	2/8/2018	AVD_82	AVD_82	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A15	(TruSeq)	0.104	Pfizer ChIP-seq	SEQ-496			hg38	61,705,314	48,658,546	0.789	0.0152	1.412	0.0213		
SAMP-387	C4_2_H3K27me3	C4_2_H3K27me3	human	EXP-384	AVD	2/8/2018	AVD_83	AVD_83	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A2	(TruSeq)	0.167	Pfizer ChIP-seq	SEQ-497			hg38	13,971,756	10,371,284	0.742	0.000122	2.483	0.0405		
SAMP-387	C4_2_Input	C4_2_Input	human	EXP-386	AVD	2/8/2018	AVD_85	AVD_85	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A13	(TruSeq)	0.104	Pfizer ChIP-seq	SEQ-498			hg38	45,314,346	35,783,558	0.79	0.00863	1.623	0.0229		
SAMP-446	CZ05	FF_Fatty_Acid_Free_BSA_NP_40_from_bulk_ATAC	human	EXP-390	JYH	2/6/2018	JYH_257	JYH_257	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S505	N704	islet buffer test	SEQ-499			hg38	22,366,722	15,498,624	0.693	0.17	20.22	0.244		
SAMP-447	CZ05	FF_Fatty_Acid_Free_BSA_digitonin_from_bulk_ATAC	human	EXP-391	JYH	2/6/2018	JYH_258	JYH_258	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S510	N701	islet buffer test	SEQ-500			hg38	21,062,672	12,271,224	0.583	0.288	21.5	0.262		
SAMP-448	CZ05	FF_Fatty_Acid_Free_BSA_NP_40_digitonin_tween20_from_bulk_ATAC	human	EXP-392	JYH	2/6/2018	JYH_259	JYH_259	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S506	N702	islet buffer test	SEQ-501			hg38	19,565,850	6,341,966	0.324	0.549	16.73	0.144		
SAMP-449	CZ05	FF_Normal_BSA_NP_40_from_bulk_ATAC	human	EXP-393	JYH	2/6/2018	JYH_260	JYH_260	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S508	N703	islet buffer test	SEQ-502			hg38	10,470,314	6,239,626	0.596	0.273	25.13	0.305		
SAMP-450	CZ05	FF_Omni_buffer_from_bulk_ATAC	human	EXP-394	JYH	2/6/2018	JYH_261	JYH_261	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S511	N706	islet buffer test	SEQ-503			hg38	10,630,158	6,318,940	0.594	0.285	23.85	0.262		
SAMP-446	CZ05	FF_Fatty_Acid_Free_BSA_NP_40_from_scATAC_test	human	EXP-395	JYH	2/6/2018	JYH_262	JYH_262	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S524	N718	islet buffer test	SEQ-504			hg38	23,154,950	8,016,240	0.346	0.11	25.07	0.309		
SAMP-447	CZ05	FF_Fatty_Acid_Free_BSA_digitonin_from_scATAC_test	human	EXP-396	JYH	2/6/2018	JYH_263	JYH_263	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S524	N719	islet buffer test	SEQ-505			hg38	20,527,246	3,104,784	0.151	0.0151	28.17	0.332		
SAMP-448	CZ05	FF_Fatty_Acid_Free_BSA_NP_40_digitonin_tween20_from_scATAC_test	human	EXP-397	JYH	2/6/2018	JYH_264	JYH_264	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S524	N723	islet buffer test	SEQ-506			hg38	30,662,168	795,344	0.0259	0.189	18.19	0.274		
SAMP-449	CZ05	FF_Normal_BSA_NP_40_from_scATAC_test	human	EXP-398	JYH	2/6/2018	JYH_265	JYH_265	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S524	N726	islet buffer test	SEQ-507			hg38	25,165,002	6,336,410	0.252	0.117	28.73	0.354		
SAMP-450	CZ05	FF_Omni_buffer_from_scATAC_test	human	EXP-399	JYH	2/6/2018	JYH_266	JYH_266	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S524	N728	islet buffer test	SEQ-508			hg38	23,841,056	5,810,508	0.244	0.074	26.45	0.315		
SAMP-445	CZ05	Omni_buffer_from_bulk_ATAC	human	EXP-371	JYH	2/6/2018	JYH_251	JYH_251_2	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S511	N701	Resequence because of the same index	SEQ-509			hg38	18,099,820	11,873,536	0.656	0.229	34.01	0.349		
other	4C_1	Tristin's sample	human	NA	JYH	2/6/2018	JYH_267	JYH_267	Other (please explain in notes)	EPIGEN	NextSeq550 Mid	75	PE	0.06	N/A	AD005	4C	SEQ-510			NA	NA	NA	NA	NA	NA	NA		
other	4C_2	Tristin's sample	human	NA	JYH	2/6/2018	JYH_268	JYH_268	Other (please explain in notes)	EPIGEN	NextSeq550 Mid	75	PE	0.06	N/A	AD006	4C	SEQ-511			NA	NA	NA	NA	NA	NA	NA		
SAMP-58	Mnx1Cre-GFP(-)	Mnx1Cre-GFPneg std.ATAC rep2	mouse	EXP-347	AVD	2/6/2018	JYH_269	JYH_269	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S510	N710		SEQ-512			mm10	17,908,774	14,025,044	0.783	0.0274	9.026	0.0714		
SAMP-58	Mnx1Cre-GFP(-)	Mnx1Cre-GFPneg sortATAC rep1	mouse	EXP-348	AVD	2/6/2018	JYH_270	JYH_270	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S508	N711		SEQ-513			mm10	22,608,950	18,045,634	0.798	0.00716	5.832	0.0529		
SAMP-58	Mnx1Cre-GFP(-)	Mnx1Cre-GFPneg sortATAC rep2	mouse	EXP-349	AVD	2/6/2018	JYH_271	JYH_271	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S506	N712		SEQ-514			mm10	20,967,754	16,796,534	0.801	0.00625	5.699	0.0552		
SAMP-91	GBM10.3	GBM10.3_seq1	human	EXP-377	XH	2/9/2018	XH_6	XH_6	scRNA-seq	EPIGEN	NextSeq550 High	26+8+0+98	PE		F11	Tru-seq		SEQ-515			NA	NA	NA	NA	NA	NA	NA		
SAMP-103	GBM10.15	GBM10.15_seq1	human	EXP-389	XH	2/9/2018	XH_7	XH_7	scRNA-seq	EPIGEN	NextSeq550 High	26+8+0+98	PE		F12	Tru-seq		SEQ-516			NA	NA	NA	NA	NA	NA	NA		
SAMP-462	sample1	sample1	mouse	EXP-387	XH	2/9/2018	XH_4	XH_4	scRNA-seq	EPIGEN	NextSeq550 High	26+8+0+98	PE		F9	Tru-seq		SEQ-517			NA	NA	NA	NA	NA	NA	NA		
SAMP-463	sample 3	sample 3	mouse	EXP-388	XH	2/9/2018	XH_5	XH_5	scRNA-seq	EPIGEN	NextSeq550 High	26+8+0+98	PE		F10	Tru-seq		SEQ-518			NA	NA	NA	NA	NA	NA	NA		
SAMP-58	Mnx1Cre-GFP(-)	Mnx1Cre-GFPneg std.ATAC rep1	mouse	EXP-346	AVD	2/12/2018	AVD_86	AVD_86	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.07	S511	N706	Jax lab ATAC to test sorting efficiency_could not run with others due to index match	SEQ-519			NA	NA	NA	NA	NA	NA	NA		
SAMP-208	387 NT (control cells)	387 NT (control cells)_seqencing rep 2	human	EXP-180	AVD	2/12/2018	AVD_35	AVD_35_2	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.27	S505	N701	Rich lab repeat sequencing run for additional reads	SEQ-520			NA	NA	NA	NA	NA	NA	NA		
SAMP-209	387 sh-alkbh1 #4 - KD cells	387 sh-alkbh1_4 - KD cells_sequencing rep 2	human	EXP-181	AVD	2/12/2018	AVD_36	AVD_36_2	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.27	S506	N703	Rich lab repeat sequencing run for additional reads	SEQ-521			NA	NA	NA	NA	NA	NA	NA		
NA	NA (spare mouse liver tissue)	Manual Grinding_rep 1	mouse		RMM	2/12/2018	RMM_12	RMM_12	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S503	N701	Homogenization methods test	SEQ-522			NA	NA	NA	NA	NA	NA	NA		
NA	NA (spare mouse liver tissue)	Manual Grinding_rep 2	mouse		RMM	2/12/2018	RMM_13	RMM_13	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S505	N702	Homogenization methods test	SEQ-523			NA	NA	NA	NA	NA	NA	NA		
NA	NA (spare mouse liver tissue)	CryoPrep_rep 1	mouse		RMM	2/12/2018	RMM_14	RMM_14	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S508	N704	Homogenization methods test (1 replicate because other had conflicting index)	SEQ-524			NA	NA	NA	NA	NA	NA	NA		
NA	NA (spare mouse liver tissue)	Homogenizer_rep1	mouse		RMM	2/12/2018	RMM_15	RMM_15	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S510	N706	Homogenization methods test	SEQ-525			NA	NA	NA	NA	NA	NA	NA		
NA	NA (spare mouse liver tissue)	Homogenizer_rep2	mouse		RMM	2/12/2018	RMM_16	RMM_16	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S511	N710	Homogenization methods test	SEQ-526			NA	NA	NA	NA	NA	NA	NA		
NA	K_562_0.1	K_562_0.1 Tn5	human	EXP-417	RMM	2/12/2018	RMM_17	RMM_17	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S505	N711	Tn5 enzyme titration	SEQ-527			NA	NA	NA	NA	NA	NA	NA		
NA	K_562_0.2	K_562_0.2 Tn5	human	EXP-418	RMM	2/12/2018	RMM_18	RMM_18	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S511	N705	Tn5 enzyme titration	SEQ-528			NA	NA	NA	NA	NA	NA	NA		
NA	K_562_0.5	K_562_0.5 Tn5	human	EXP-419	RMM	2/12/2018	RMM_19	RMM_19	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S508	N706	Tn5 enzyme titration	SEQ-529			NA	NA	NA	NA	NA	NA	NA		
NA	K_562_1.0	K_562_1.0 Tn5	human	EXP-420	RMM	2/12/2018	RMM_20	RMM_20	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S503	N712	Tn5 enzyme titration	SEQ-530			NA	NA	NA	NA	NA	NA	NA		
NA	K_562_2.0	K_562_2.0 Tn5	human	EXP-421	RMM	2/12/2018	RMM_21	RMM_21	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S506	N710	Tn5 enzyme titration	SEQ-531			NA	NA	NA	NA	NA	NA	NA		
SAMP-406	1	NCI-H1299_ sgRNA1.1	human	EXP-354	JYH	2/13/2018	JYH_234	JYH_234_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S502	N704	NCI-H1299, sgRNA1.1	SEQ-532			NA	NA	NA	NA	NA	NA	NA		
SAMP-407	2	NCI-H1299_ sgRNA1.2	human	EXP-355	JYH	2/13/2018	JYH_235	JYH_235_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S503	N705	NCI-H1299, sgRNA1.2	SEQ-533			NA	NA	NA	NA	NA	NA	NA		
SAMP-408	3	NCI-H1299_ sgRNA1.3	human	EXP-356	JYH	2/13/2018	JYH_236	JYH_236_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S505	N706	NCI-H1299, sgRNA1.3	SEQ-534			NA	NA	NA	NA	NA	NA	NA		
SAMP-409	5	NCI-H1299_ sgRNA2.1	human	EXP-357	JYH	2/13/2018	JYH_237	JYH_237_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S506	N707	NCI-H1299, sgRNA2.1	SEQ-535			NA	NA	NA	NA	NA	NA	NA		
SAMP-410	6	NCI-H1299_ sgRNA2.2	human	EXP-358	JYH	2/13/2018	JYH_238	JYH_238_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S507	N710	NCI-H1299, sgRNA2.2	SEQ-536			NA	NA	NA	NA	NA	NA	NA		
SAMP-411	7	NCI-H1299_ sgRNA2.3	human	EXP-359	JYH	2/13/2018	JYH_239	JYH_239_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S508	N711	NCI-H1299, sgRNA2.3	SEQ-537			NA	NA	NA	NA	NA	NA	NA		
SAMP-412	9	NCI-H1299_ sgRNA3.1	human	EXP-360	JYH	2/13/2018	JYH_240	JYH_240_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S510	N712	NCI-H1299, sgRNA3.1	SEQ-538			NA	NA	NA	NA	NA	NA	NA		
SAMP-413	10	NCI-H1299_ sgRNA3.2	human	EXP-361	JYH	2/13/2018	JYH_241	JYH_241_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S511	N701	NCI-H1299, sgRNA3.2	SEQ-539			NA	NA	NA	NA	NA	NA	NA		
SAMP-414	11	NCI-H1299_ sgRNA3.3	human	EXP-362	JYH	2/13/2018	JYH_242	JYH_242_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S502	N702	NCI-H1299, sgRNA3.3	SEQ-540			NA	NA	NA	NA	NA	NA	NA		
SAMP-415	13	NCI-H1299_ sgRNA4.1	human	EXP-363	JYH	2/13/2018	JYH_243	JYH_243_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S503	N703	NCI-H1299, sgRNA4.1	SEQ-541			NA	NA	NA	NA	NA	NA	NA		
SAMP-416	14	NCI-H1299_ sgRNA4.2	human	EXP-364	JYH	2/13/2018	JYH_244	JYH_244_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S505	N704	NCI-H1299, sgRNA4.2	SEQ-542			NA	NA	NA	NA	NA	NA	NA		
SAMP-417	15	NCI-H1299_ sgRNA4.3	human	EXP-365	JYH	2/13/2018	JYH_245	JYH_245_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.17	S506	N705	NCI-H1299, sgRNA4.3	SEQ-543			NA	NA	NA	NA	NA	NA	NA		
SAMP-464	NCIH1048 C2	NCIH1048 C2	human	EXP-400	JYH	2/13/2018	JYH_272	JYH_272	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S503	N701		SEQ-544			NA	NA	NA	NA	NA	NA	NA		
SAMP-465	NCIH1048 T2	NCIH1048 T2	human	EXP-401	JYH	2/13/2018	JYH_273	JYH_273	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S502	N702		SEQ-545			hg38	11,445,730	8,157,084	0.713	0.122	41.93	0.341		
SAMP-466	NCIH1048 O2	NCIH1048 O2	human	EXP-402	JYH	2/13/2018	JYH_274	JYH_274	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S505	N703		SEQ-546			hg38	13,731,830	9,805,290	0.714	0.117	42.95	0.348		
SAMP-467	NCIH1048 N2	NCIH1048 N2	human	EXP-403	JYH	2/13/2018	JYH_275	JYH_275	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S506	N704		SEQ-547			hg38	13,706,734	9,597,628	0.7	0.134	44.33	0.357		
SAMP-468	NCIH1048 R2	NCIH1048 R2	human	EXP-404	JYH	2/13/2018	JYH_276	JYH_276	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S507	N705		SEQ-548			hg38	12,213,236	8,583,578	0.703	0.133	42.97	0.343		
SAMP-469	NCIH1048 V2	NCIH1048 V2	human	EXP-405	JYH	2/13/2018	JYH_277	JYH_277	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S508	N706		SEQ-549			hg38	13,071,318	9,501,702	0.727	0.106	43.34	0.35		
SAMP-470	NCIH1048 T5	NCIH1048 T5	human	EXP-406	JYH	2/13/2018	JYH_278	JYH_278	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S510	N707		SEQ-550			hg38	15,454,242	7,733,608	0.5	0.34	33.11	0.263		
SAMP-471	NCIH1048 O5	NCIH1048 O5	human	EXP-407	JYH	2/13/2018	JYH_279	JYH_279	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S511	N710		SEQ-551			hg38	13,279,944	6,916,478	0.521	0.312	24.3	0.186		
SAMP-472	NCIH1048 N5	NCIH1048 N5	human	EXP-408	JYH	2/13/2018	JYH_280	JYH_280	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S502	N711		SEQ-552			hg38	12,422,734	8,750,994	0.704	0.128	43.92	0.346		
SAMP-473	NCIH1048 R5	NCIH1048 R5	human	EXP-409	JYH	2/13/2018	JYH_281	JYH_281	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S503	N712		SEQ-553			hg38	12,804,786	8,743,694	0.683	0.151	42.63	0.328		
SAMP-474	NCIH1048 V5	NCIH1048 V5	human	EXP-410	JYH	2/13/2018	JYH_282	JYH_282	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S505	N701		SEQ-554			hg38	14,653,234	10,305,436	0.703	0.129	44.78	0.355		
SAMP-439	Day3_+Gx	Day3_+Gx	human	EXP-411	JYH	2/13/2018	JYH_283	JYH_283	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S506	N702		SEQ-555			hg38	24,054,848	672,852	0.028	0.143	25.15	0.227		
SAMP-440	Day3_-Gx	Day3_-Gx	human	EXP-412	JYH	2/13/2018	JYH_284	JYH_284	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S507	N703		SEQ-556			hg38	18,135,212	1,787,820	0.0986	0.238	20.01	0.192		
SAMP-126	GM_SNAP10	ATAC Control	human	EXP-413	JYH	2/13/2018	JYH_285	JYH_285	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.00	S508	N704		SEQ-557			hg38	3,857,330	1,927,658	0.5	0.338	31.36	0.228		
SAMP-126	GM_SNAP10	Biomek_6th_1	human	EXP-414	JYH	2/13/2018	JYH_286	JYH_286	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S510	N711		SEQ-558			hg38	14,909,838	8,071,480	0.541	0.299	29.82	0.197		
SAMP-126	GM_SNAP10	Biomek_6th_2	human	EXP-415	JYH	2/13/2018	JYH_287	JYH_287	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	S511	N712		SEQ-559			hg38	14,044,070	7,330,280	0.522	0.315	30.74	0.202		
SAMP-208	387 NT (control cells)	387 NT (control cells)_seqencing rep 2	human	EXP-180	AVD	2/12/2018	AVD_35	AVD_35_1_2	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.27	S505	N701	Rich lab merge	SEQ-520			hg19	103,432,620	49,711,274	0.481	0.357	41.64	0.449		
SAMP-209	387 sh-alkbh1 #4 - KD cells	387 sh-alkbh1_4 - KD cells_sequencing rep 2	human	EXP-181	AVD	2/12/2018	AVD_36	AVD_36_1_2	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.27	S506	N703	Rich lab merge	SEQ-521			hg19	94,971,234	44,713,906	0.471	0.374	44.65	0.452		
SAMP-379	DMS114_H3K27me3	DMS114_H3K27me3	human	EXP-378	AVD	2/13/2018	AVD_77	AVD_77_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A5	(TruSeq)	0.167	Pfizer ChIP-seq run for more reads	SEQ-562			NA	NA	NA	NA	NA	NA	NA		
SAMP-387	C4_2_H3K27me3	C4_2_H3K27me3	human	EXP-384	AVD	2/13/2018	AVD_83	AVD_83_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A2	(TruSeq)	0.167	Pfizer ChIP-seq run for more reads	SEQ-563			NA	NA	NA	NA	NA	NA	NA		
SAMP-379	DMS114_H3K27me3	DMS114_H3K27me3	human	EXP-378	AVD	2/13/2018	AVD_77	AVD_77_1_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A5	(TruSeq)	0.167	Pfizer ChIP-seq run for more reads	SEQ-564			NA	NA	NA	NA	NA	NA	NA		
SAMP-387	C4_2_H3K27me3	C4_2_H3K27me3	human	EXP-384	AVD	2/13/2018	AVD_83	AVD_83_1_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	A2	(TruSeq)	0.167	Pfizer ChIP-seq run for more reads	SEQ-565			NA	NA	NA	NA	NA	NA	NA		
SAMP-226	D00_Rep1	D00_Rep1	human	EXP-118	JYH	1/12/2018	JYH_127	JYH_127_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S502	N701	Neil Chi Rep1	SEQ-566			NA	NA	NA	NA	NA	NA	NA		
SAMP-228	D03_Rep1	D03_Rep1	human	EXP-119	JYH	1/12/2018	JYH_128	JYH_128_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S503	N702	Neil Chi Rep1	SEQ-567			NA	NA	NA	NA	NA	NA	NA		
SAMP-230	D05_Rep1_VE	D05_Rep1_VE	human	EXP-120	JYH	1/12/2018	JYH_129	JYH_129_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S505	N703	Neil Chi Rep1	SEQ-568			NA	NA	NA	NA	NA	NA	NA		
